 _   _                           _        _     _     _   
python3-aniso8601/kali-rolling 10.0.1-1 all [upgradable from: 10.0.0-2]
python3-automat/kali-rolling 25.4.16-1 all [upgradable from: 24.8.1-1]
python3-brlapi/kali-rolling 6.7-3.1 amd64 [upgradable from: 6.7-1+b3]
python3-celery/kali-rolling 5.5.2-2 all [upgradable from: 5.5.1-1]
python3-charset-normalizer/kali-rolling 3.4.2-1 amd64 [upgradable from: 3.4.1-1+b1]
python3-cli-helpers/kali-rolling 2.4.0-2 all [upgradable from: 2.4.0-1]
python3-cryptography/kali-rolling 43.0.0-3 amd64 [upgradable from: 43.0.0-2]
python3-dev/kali-rolling 3.13.3-1 amd64 [upgradable from: 3.13.2-2]
python3-django/kali-rolling 3:4.2.21-1 all [upgradable from: 3:4.2.20-1]
python3-frozenlist/kali-rolling 1.6.0-1 amd64 [upgradable from: 1.5.0-1+b2]
python3-gpg/kali-rolling 1.24.2-3 amd64 [upgradable from: 1.24.2-1+b1]
python3-gvm/kali-rolling 26.2.0-1 all [upgradable from: 26.1.1-1]
python3-h11/kali-rolling 0.14.0-1.1 all [upgradable from: 0.14.0-1]
python3-impacket/kali-rolling 0.12.0+gite61ff5d-0kali1 all [upgradable from: 0.12.0-3]
python3-importlib-metadata/kali-rolling 8.7.0-1 all [upgradable from: 8.6.1-1]
python3-ipython/kali-rolling 8.35.0-1 all [upgradable from: 8.30.0-2]
python3-kismetcapturebtgeiger/kali-rolling 2023.07.R2-0kali2 all [upgradable from: 2023.07.R2-0kali1]
python3-kismetcapturefreaklabszigbee/kali-rolling 2023.07.R2-0kali2 all [upgradable from: 2023.07.R2-0kali1]
python3-kismetcapturertl433/kali-rolling 2023.07.R2-0kali2 all [upgradable from: 2023.07.R2-0kali1]
python3-kismetcapturertladsb/kali-rolling 2023.07.R2-0kali2 all [upgradable from: 2023.07.R2-0kali1]
python3-kismetcapturertlamr/kali-rolling 2023.07.R2-0kali2 all [upgradable from: 2023.07.R2-0kali1]
python3-limits/kali-rolling 4.4.1-3 all [upgradable from: 4.4.1-2]
python3-lxml/kali-rolling 5.4.0-1 amd64 [upgradable from: 5.3.2-1]
python3-markdown-it/kali-rolling 3.0.0-3 all [upgradable from: 3.0.0-2]
python3-matplotlib/kali-rolling 3.10.1+dfsg1-3 amd64 [upgradable from: 3.10.1+dfsg1-2]
python3-minimal/kali-rolling 3.13.3-1 amd64 [upgradable from: 3.13.2-2]
python3-openpyxl/kali-rolling 3.1.5+dfsg-2 all [upgradable from: 3.1.5+dfsg-1]
python3-packaging/kali-rolling 25.0-1 all [upgradable from: 24.2-1]
python3-pip-whl/kali-rolling 25.1.1+dfsg-1 all [upgradable from: 25.0.1+dfsg-1]
python3-pip/kali-rolling 25.1.1+dfsg-1 all [upgradable from: 25.0.1+dfsg-1]
python3-pkg-resources/kali-rolling 78.1.0-1.2 all [upgradable from: 75.8.0-1]
python3-protobuf/kali-rolling 3.21.12-11 amd64 [upgradable from: 3.21.12-10+b6]
python3-pydantic-core/kali-rolling 2.27.2-3+b1 amd64 [upgradable from: 2.27.2-3]
python3-pydyf/kali-rolling 0.11.0-5 all [upgradable from: 0.11.0-4]
python3-pyexploitdb/kali-rolling 0.2.81-0kali1 all [upgradable from: 0.2.74-0kali1]
python3-rq/kali-rolling 2.3.2-1 all [upgradable from: 1.16.2-1]
